epoch_s	power_w	temp_c	util_pct	gfx_clock_mhz	throttle	vram_mib	mem_available_kb	swap_total_kb	swap_free_kb
1789638043	21.14	32	0	210	0x0000000000000004	20292	26734700	8388604	4739612
1789638045	21.16	32	0	210	0x0000000000000001	20292	26622516	8388604	4739612
1789638047	28.61	32	0	210	0x0000000000000001	20292	26723704	8388604	4739612
1789638049	21.17	32	0	210	0x0000000000000004	20292	26716560	8388604	4739612
1789638051	21.02	32	0	210	0x0000000000000001	20292	26671132	8388604	4739612
1789638053	22.99	32	1	210	0x0000000000000001	20292	26676560	8388604	4739612
1789638055	21.83	32	0	210	0x0000000000000001	20292	26671144	8388604	4739612
1789638057	21.00	31	0	210	0x0000000000000001	20292	26709676	8388604	4739612
1789638059	21.18	31	0	210	0x0000000000000001	20292	26696092	8388604	4739616
1789638062	29.14	32	0	210	0x0000000000000001	20292	26710760	8388604	4739616
1789638064	21.51	31	0	210	0x0000000000000001	20292	26710588	8388604	4739616
1789638066	21.17	31	0	210	0x0000000000000001	20292	26627528	8388604	4739616
1789638068	22.44	32	0	210	0x0000000000000001	20292	26745556	8388604	4739616
1789638070	22.46	32	0	210	0x0000000000000001	20292	26774944	8388604	4739616
1789638072	21.20	31	0	210	0x0000000000000001	20292	26764812	8388604	4739700
1789638074	21.25	31	0	210	0x0000000000000001	20292	26700608	8388604	4739700
1789638076	28.93	32	0	210	0x0000000000000001	20292	26751128	8388604	4739716
1789638078	21.40	31	0	210	0x0000000000000001	20292	26763348	8388604	4739716
1789638080	21.19	31	0	210	0x0000000000000001	20292	26769496	8388604	4739716
1789638082	21.27	31	0	210	0x0000000000000001	20292	26781360	8388604	4739716
1789638084	22.63	31	0	210	0x0000000000000001	20292	26810060	8388604	4739716
1789638086	21.11	31	0	210	0x0000000000000001	20292	26657668	8388604	4739716
1789638088	21.16	31	0	210	0x0000000000000004	20292	26767188	8388604	4739716
1789638090	28.55	31	0	210	0x0000000000000001	20292	26792044	8388604	4739716
1789638092	24.86	31	0	1695	0x0000000000000001	20324	26437904	8388604	4739716
1789638094	192.43	36	30	1695	0x0000000000000000	20382	26108836	8388604	4739716
1789638096	153.60	36	32	1695	0x0000000000000000	20382	25837084	8388604	4739716
1789638098	150.66	36	30	1695	0x0000000000000000	20388	25822812	8388604	4388972
1789638100	108.07	35	0	1695	0x0000000000000000	20388	25586016	8388604	4215588
1789638102	152.15	36	24	1695	0x0000000000000000	20388	26305616	8388604	4739752
1789638104	161.45	37	36	1695	0x0000000000000000	20388	26347144	8388604	4739752
1789638106	161.57	38	35	1695	0x0000000000000000	20388	26367416	8388604	4739752
1789638108	156.58	38	34	1695	0x0000000000000000	20388	26270272	8388604	4739752
1789638110	159.76	38	32	1695	0x0000000000000000	20388	26342564	8388604	4739752
1789638112	133.64	37	33	1695	0x0000000000000000	20388	26303000	8388604	4739752
1789638114	163.94	38	38	1695	0x0000000000000000	20388	26289576	8388604	4739752
1789638116	162.70	38	35	1710	0x0000000000000000	20488	26218592	8388604	4739752
1789638118	160.98	38	32	1695	0x0000000000000000	20488	26066652	8388604	4739752
1789638120	147.73	38	32	1695	0x0000000000000000	20488	26201868	8388604	4739752
1789638122	165.00	38	41	1695	0x0000000000000000	20488	26221832	8388604	4739752
1789638124	161.57	38	34	1695	0x0000000000000000	20488	26173920	8388604	4739752
1789638126	139.28	38	37	1695	0x0000000000000000	20490	26161620	8388604	4739752
1789638128	164.49	39	35	1695	0x0000000000000000	20490	26227152	8388604	4739752
1789638131	149.38	39	35	1695	0x0000000000000000	20490	26254792	8388604	4739752
1789638133	162.89	39	37	1695	0x0000000000000000	20490	26178368	8388604	4739752
1789638135	163.81	39	38	1695	0x0000000000000000	20490	26212060	8388604	4739752
1789638137	161.99	39	30	1695	0x0000000000000000	20490	26182072	8388604	4739752
1789638139	181.57	40	36	1830	0x0000000000000000	20490	26238888	8388604	4739864
1789638141	167.52	39	35	1695	0x0000000000000000	20490	26172412	8388604	4739864
1789638143	164.08	39	34	1695	0x0000000000000000	20490	26166500	8388604	4739864
1789638145	174.41	40	38	1755	0x0000000000000000	20490	26189324	8388604	4739864
1789638147	162.15	40	41	1770	0x0000000000000000	20490	26191372	8388604	4739864
1789638149	177.72	40	38	1725	0x0000000000000000	20490	26161892	8388604	4739864
1789638151	151.50	38	11	1695	0x0000000000000000	20490	26155712	8388604	4739864
